N,graph,r,p_Bd,fix_prob,fix_time
50,cycle,1.008,0.0,0.022,16764.5
50,cycle,1.008,0.1,0.021,20882.380952380954
50,cycle,1.008,0.2,0.018,18280.833333333332
50,cycle,1.008,0.30000000000000004,0.028,21521.571428571428
50,cycle,1.008,0.4,0.019,22534.473684210527
50,cycle,1.008,0.5,0.021,19803.47619047619
50,cycle,1.008,0.6000000000000001,0.017,23477.823529411766
50,cycle,1.008,0.7000000000000001,0.025,18861.52
50,cycle,1.008,0.8,0.027,21526.074074074073
50,cycle,1.008,0.9,0.027,18078.40740740741
50,cycle,1.008,1.0,0.03,18000.533333333333
50,cycle,1.01,0.0,0.025,20388.16
50,cycle,1.01,0.1,0.026,21250.26923076923
50,cycle,1.01,0.2,0.022,20102.272727272728
50,cycle,1.01,0.30000000000000004,0.032,21462.84375
50,cycle,1.01,0.4,0.024,18429.958333333332
50,cycle,1.01,0.5,0.022,21809.545454545456
50,cycle,1.01,0.6000000000000001,0.017,23105.529411764706
50,cycle,1.01,0.7000000000000001,0.018,15505.111111111111
50,cycle,1.01,0.8,0.022,25044.81818181818
50,cycle,1.01,0.9,0.028,21291.75
50,cycle,1.01,1.0,0.024,17908.25
50,star,0.99,0.0,0.516,243.5
50,star,0.99,0.1,0.116,497.91379310344826
50,star,0.99,0.2,0.057,842.6666666666666
50,star,0.99,0.30000000000000004,0.043,1275.3488372093022
50,star,0.99,0.4,0.035,2023.0857142857142
50,star,0.99,0.5,0.02,2348.35
50,star,0.99,0.6000000000000001,0.014,4094.0714285714284
50,star,0.99,0.7000000000000001,0.008,4722.625
50,star,0.99,0.8,0.0,
50,star,0.99,0.9,0.005,20053.8
50,star,0.99,1.0,0.0,
50,star,0.992,0.0,0.469,246.66098081023455
50,star,0.992,0.1,0.115,483.54782608695655
50,star,0.992,0.2,0.063,780.4285714285714
50,star,0.992,0.30000000000000004,0.027,1278.148148148148
50,star,0.992,0.4,0.03,1597.5666666666666
50,star,0.992,0.5,0.018,2070.8333333333335
50,star,0.992,0.6000000000000001,0.012,3768.0
50,star,0.992,0.7000000000000001,0.006,4367.833333333333
50,star,0.992,0.8,0.003,5217.0
50,star,0.992,0.9,0.0,
50,star,0.992,1.0,0.0,
50,star,0.994,0.0,0.486,241.2880658436214
50,star,0.994,0.1,0.124,491.8306451612903
50,star,0.994,0.2,0.057,801.6491228070175
50,star,0.994,0.30000000000000004,0.037,1297.8648648648648
50,star,0.994,0.4,0.037,1853.1081081081081
50,star,0.994,0.5,0.022,3117.318181818182
50,star,0.994,0.6000000000000001,0.015,3907.133333333333
50,star,0.994,0.7000000000000001,0.007,3915.285714285714
50,star,0.994,0.8,0.003,11500.666666666666
50,star,0.994,0.9,0.004,18119.25
50,star,0.994,1.0,0.0,
50,star,0.996,0.0,0.463,239.3110151187905
50,star,0.996,0.1,0.153,481.1503267973856
50,star,0.996,0.2,0.059,816.7457627118644
50,star,0.996,0.30000000000000004,0.039,1416.076923076923
50,star,0.996,0.4,0.026,1810.8461538461538
50,star,0.996,0.5,0.021,2253.904761904762
50,star,0.996,0.6000000000000001,0.02,3274.95
50,star,0.996,0.7000000000000001,0.008,5941.125
50,star,0.996,0.8,0.007,10488.714285714286
50,star,0.996,0.9,0.002,10409.5
50,star,0.996,1.0,0.0,
50,star,0.998,0.0,0.487,239.60164271047228
50,star,0.998,0.1,0.14,506.4357142857143
50,star,0.998,0.2,0.056,684.5178571428571
50,star,0.998,0.30000000000000004,0.041,1197.219512195122
50,star,0.998,0.4,0.029,1581.7241379310344
50,star,0.998,0.5,0.02,2786.15
50,star,0.998,0.6000000000000001,0.016,5405.125
50,star,0.998,0.7000000000000001,0.012,5891.666666666667
50,star,0.998,0.8,0.007,12717.42857142857
50,star,0.998,0.9,0.003,12802.333333333334
50,star,0.998,1.0,0.0,
50,star,1.0,0.0,0.48,241.98958333333334
50,star,1.0,0.1,0.131,463.80916030534354
50,star,1.0,0.2,0.064,754.96875
50,star,1.0,0.30000000000000004,0.035,1097.7714285714285
50,star,1.0,0.4,0.024,1605.5
50,star,1.0,0.5,0.029,2564.5862068965516
