,N,graph,p_Bd,r,abs_time,fix_prob
179,3,42770a,0.30000000000000004,1.0,2.9999999999999987,0.3333333333333331
180,3,42770a,0.4,1.0,2.9999999999999987,0.3333333333333331
181,3,42770a,0.5,1.0,2.9999999999999987,0.3333333333333331
182,3,42770a,0.6000000000000001,1.0,2.9999999999999987,0.3333333333333331
183,3,42770a,0.7000000000000001,1.0,2.9999999999999987,0.3333333333333331
184,3,42770a,0.8,1.0,2.9999999999999987,0.3333333333333331
185,3,42770a,0.9,1.0,2.9999999999999987,0.3333333333333331
186,3,42770a,1.0,1.0,2.9999999999999987,0.3333333333333331
187,3,42770a,0.0,1.15,3.0,0.35658914728682173
188,3,42770a,0.1,1.15,3.004328067517853,0.3589851855952518
189,3,42770a,0.2,1.15,3.008654262224145,0.36138790214645816
190,3,42770a,0.30000000000000004,1.15,3.012978585334199,0.3637972926067337
191,3,42770a,0.4,1.15,3.0173010380622833,0.3662133526461198
192,3,42770a,0.5,1.15,3.0216216216216214,0.3686360779384035
193,3,42770a,0.6000000000000001,1.15,3.0259403372243825,0.3710654641611113
194,3,42770a,0.7000000000000001,1.15,3.0302571860816943,0.37350150699550827
195,3,42770a,0.8,1.15,3.0345721694036296,0.3759442021265902
196,3,42770a,0.9,1.15,3.038885288399222,0.3783935452430833
197,3,42770a,1.0,1.15,3.043196544276457,0.38084953203743677
198,3,42770a,0.0,1.3,3.0000000000000013,0.37681159420289884
199,3,42770a,0.1,1.3,3.0075700227100683,0.3813898122853791
200,3,42770a,0.2,1.3,3.015128593040848,0.3859896073143461
201,3,42770a,0.30000000000000004,1.3,3.0226757369614514,0.39061093036248323
202,3,42770a,0.4,1.3,3.0302114803625386,0.39525373265029146
203,3,42770a,0.5,1.3,3.0377358490566038,0.3999179655455292
204,3,42770a,0.6000000000000001,1.3,3.0452488687782804,0.4046035805626598
205,3,42770a,0.7000000000000001,1.3,3.0527505651846276,0.40931052936229717
206,3,42770a,0.8,1.3,3.060240963855423,0.4140387637506551
207,3,42770a,0.9,1.3,3.067720090293454,0.4187882356790003
208,3,42770a,1.0,1.3,3.0751879699248117,0.42355889724310775
209,3,42770a,0.0,1.45,3.0,0.39455782312925153
210,3,42770a,0.1,1.45,3.0100183670061775,0.40110963069482236
211,3,42770a,0.2,1.45,3.02000666888963,0.40770097969164326
212,3,42770a,0.30000000000000004,1.45,3.029965040785749,0.41433169239062345
213,3,42770a,0.4,1.45,3.0398936170212774,0.42100159212621224
214,3,42770a,0.5,1.45,3.0497925311203304,0.42771050328845206
215,3,42770a,0.6000000000000001,1.45,3.0596619158104073,0.43445825131511
216,3,42770a,0.7000000000000001,1.45,3.0695019030282977,0.4412446626838722
217,3,42770a,0.8,1.45,3.079312623925975,0.4480695649046136
