,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp
427,4,435d0a,0.9,1.0,6.0,0.25,6.0,0.25
428,4,435d0a,1.0,1.0,6.0,0.25,6.0,0.25
429,4,435d0a,0.0,1.15,6.059886700836254,0.2854059886700835,6.059886700836254,0.2854059886700835
430,4,435d0a,0.1,1.15,6.073311108792166,0.2872983334062585,6.073311108792166,0.2872983334062585
431,4,435d0a,0.2,1.15,6.086727186561493,0.28919623142514306,6.086727186561493,0.28919623142514306
432,4,435d0a,0.30000000000000004,1.15,6.10013494087008,0.2910996763209252,6.10013494087008,0.2910996763209252
433,4,435d0a,0.4,1.15,6.113534378436921,0.29300866169515855,6.113534378436921,0.29300866169515855
434,4,435d0a,0.5,1.15,6.126925505974166,0.294923181156753,6.126925505974166,0.294923181156753
435,4,435d0a,0.6000000000000001,1.15,6.140308330187141,0.29684322832196597,6.140308330187141,0.29684322832196597
436,4,435d0a,0.7000000000000001,1.15,6.153682857774345,0.2987687968143916,6.153682857774345,0.2987687968143916
437,4,435d0a,0.8,1.15,6.16704909542746,0.3006998802649519,6.16704909542746,0.3006998802649519
438,4,435d0a,0.9,1.15,6.180407049831369,0.30263647231188695,6.180407049831369,0.30263647231188695
439,4,435d0a,1.0,1.15,6.193756727664155,0.304578566600746,6.193756727664155,0.304578566600746
440,4,435d0a,0.0,1.3,6.095595126522965,0.3167760074976572,6.095595126522965,0.3167760074976572
441,4,435d0a,0.1,1.3,6.119730261183392,0.3205316547130165,6.119730261183392,0.3205316547130165
442,4,435d0a,0.2,1.3,6.143812242737592,0.32430453963090555,6.143812242737592,0.32430453963090555
443,4,435d0a,0.30000000000000004,1.3,6.167841221340064,0.32809458861187213,6.167841221340064,0.32809458861187213
444,4,435d0a,0.4,1.3,6.1918173466131154,0.33190172831543296,6.1918173466131154,0.33190172831543296
445,4,435d0a,0.5,1.3,6.215740767649196,0.33572588569870887,6.215740767649196,0.33572588569870887
446,4,435d0a,0.6000000000000001,1.3,6.2396116330131735,0.33956698801506774,6.2396116330131735,0.33956698801506774
447,4,435d0a,0.7000000000000001,1.3,6.263430090744583,0.3434249628127733,6.263430090744583,0.3434249628127733
448,4,435d0a,0.8,1.3,6.2871962883599,0.34729973793364133,6.2871962883599,0.34729973793364133
449,4,435d0a,0.9,1.3,6.310910372854784,0.351191241511703,6.310910372854784,0.351191241511703
450,4,435d0a,1.0,1.3,6.334572490706323,0.35509940197187684,6.334572490706323,0.35509940197187684
451,4,435d0a,0.0,1.45,6.114274011877943,0.34446037272168745,6.114274011877943,0.34446037272168745
452,4,435d0a,0.1,1.45,6.14700139406965,0.3499915503198179,6.14700139406965,0.3499915503198179
453,4,435d0a,0.2,1.45,6.179584091911519,0.35555239793238735,6.179584091911519,0.35555239793238735
454,4,435d0a,0.30000000000000004,1.45,6.212022914513202,0.361142646772489,6.212022914513202,0.361142646772489
455,4,435d0a,0.4,1.45,6.244318665337404,0.366762030237471,6.244318665337404,0.366762030237471
456,4,435d0a,0.5,1.45,6.276472142247659,0.3724102838892258,6.276472142247659,0.3724102838892258
457,4,435d0a,0.6000000000000001,1.45,6.308484137555649,0.3780871454346816,6.308484137555649,0.3780871454346816
458,4,435d0a,0.7000000000000001,1.45,6.340355438068007,0.3837923547064942,6.340355438068007,0.3837923547064942
459,4,435d0a,0.8,1.45,6.372086825132705,0.3895256536439389,6.372086825132705,0.3895256536439389
460,4,435d0a,0.9,1.45,6.403679074684922,0.39528678627399494,6.403679074684922,0.39528678627399494
461,4,435d0a,1.0,1.45,6.435132957292505,0.4010754986926277,6.435132957292505,0.4010754986926277
462,4,435d0a,0.0,1.5999999999999999,6.121037463976947,0.3688760806916428,6.121037463976947,0.3688760806916428
463,4,435d0a,0.1,1.5999999999999999,6.160725566583686,0.3760690896604149,6.160725566583686,0.3760690896604149
464,4,435d0a,0.2,1.5999999999999999,6.20013388349941,0.383301874368992,6.20013388349941,0.383301874368992
465,4,435d0a,0.30000000000000004,1.5999999999999999,6.2392648764108465,0.39057381849388295,6.2392648764108465,0.39057381849388295
